"id","fqdn/ip","port","severity","finding","cve","cwe"
"TLS_session_ticket","www.economie.gouv.fr/46.105.202.193","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.economie.gouv.fr/46.105.202.193","443","INFO","yes","",""
"sessionresumption_ticket","www.economie.gouv.fr/46.105.202.193","443","INFO","not supported","",""
"sessionresumption_ID","www.economie.gouv.fr/46.105.202.193","443","INFO","not supported","",""
"TLS_timestamp","www.economie.gouv.fr/46.105.202.193","443","INFO","random","",""
"certificate_compression","www.economie.gouv.fr/46.105.202.193","443","INFO","none","",""
"clientAuth","www.economie.gouv.fr/46.105.202.193","443","INFO","none","",""
"cert_numbers","www.economie.gouv.fr/46.105.202.193","443","INFO","1","",""
"cert_signatureAlgorithm","www.economie.gouv.fr/46.105.202.193","443","OK","SHA256 with RSA","",""
"cert_keySize","www.economie.gouv.fr/46.105.202.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.economie.gouv.fr/46.105.202.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.economie.gouv.fr/46.105.202.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.economie.gouv.fr/46.105.202.193","443","INFO","36E60084AA47AC892E5B2D7D6EF5CE49","",""
"cert_serialNumberLen","www.economie.gouv.fr/46.105.202.193","443","INFO","16","",""
"cert_fingerprintSHA1","www.economie.gouv.fr/46.105.202.193","443","INFO","DB2B9927F58331ADF542DA61951F11DA91CAFF77","",""
"cert_fingerprintSHA256","www.economie.gouv.fr/46.105.202.193","443","INFO","33FC2C53EA0F01C9A959A725737D6A34272D475A5B342DD8B1479179C9FF264F","",""
